accountsservice 0.6.54+2+g204a4ab-1
lua 5.3.5-1
lua52 5.2.4-3
lvm2 2.02.182-1
lxappearance-gtk3 0.6.3-1
lxappearance-obconf-gtk3 0.2.3-1
lxmenu-data 0.1.5-1
lynx 2.8.9-2
lz4 1:1.8.3-1
lzo 2.10-2
m4 1.4.18-2
make 4.2.1-3
man-db 2.8.4-1
man-pages 4.16-2
manjaro-documentation-en 20181009-1
manjaro-firmware 20160419-1
manjaro-keyring 20180607-1
manjaro-openbox-adapta-maia 1.0-4
manjaro-openbox-common 1.18-1
manjaro-openbox-config 1.18.2-0.1
manjaro-openbox-desktop-settings 1.18.2-0.1
manjaro-openbox-fonts 1.18-1
manjaro-openbox-scripts 1.18.5-1
manjaro-openbox-wallpapers-18.0 1.0-7
manjaro-release 18.0.0-1.1
manjaro-settings-manager 0.5.5-2
manjaro-system 20180828-2
manjaro-wallpapers-18.0 1.4-3
manjaro-zsh-config 0.11-1
mc 4.8.21-1
mdadm 4.0-1
memtest86+ 5.01-2
menu-cache 1.1.0-1
mesa 18.2.4-1
metis 5.1.0.p3-1
mhwd 0.6.3-1
mhwd-amdgpu 1.2.1-1
mhwd-ati 7.7.0-1
mhwd-catalyst 1:15.201.1151-2
mhwd-db 0.6.3-4
mhwd-nvidia 1:410.73-1
mhwd-nvidia-340xx 340.107-1
mhwd-nvidia-390xx 390.87-1
micro-manjaro 1.4.0-8
minizip 1:1.2.11-3
mintstick 1.3.8-3
mkinitcpio 25-1
mkinitcpio-busybox 1.29.3-1
mkinitcpio-openswap 0.1.0-2
mlocate 0.26.git.20170220-1
mobile-broadband-provider-info 20170310-1
mpfr 4.0.1-1
mpv 1:0.29.1-3
mtdev 1.1.5-2
mypaint-brushes 1.3.0-2
nano 3.1-1
ncurses 6.1-4
ndctl 63-1
neon 0.30.2-3
net-tools 1.60.20180212git-1
nettle 3.4-1
network-manager-applet 1.8.19dev+21+geebf7f95-1
networkmanager 1.14.5dev+17+gba83251bb-1
networkmanager-dmenu r80.eefd2c3-1
networkmanager-openvpn 1.8.8-1
nfs-utils 2.3.3-1
nfsidmap 2.3.3-1
nilfs-utils 2.2.7-1
nitrogen 1.6.1-2
nm-connection-editor 1.8.19dev+21+geebf7f95-1
noto-fonts 20181024-1
npth 1.6-1
nspr 4.20-1
nss 3.40-1
ntfs-3g 2017.3.23-3
numlockx 1.2-4
ob-autostart 1-3
obconf 2.0.4-5
obkey-gtk3 1.0.47.gcf99076-1
obmenu-generator 0.84-1
openbox 3.6.1-4
opencore-amr 0.1.5-1
openexr 2.3.0-1
openjpeg2 2.3.0-3
openresolv 3.9.0-1
openssh 7.9p1-1
openssl 1.1.1-1
openssl-1.0 1.0.2.p-1
openvpn 2.4.6-1
opus 1.3-1
orc 0.4.28-1
os-prober 1.76-2
p11-kit 0.23.14-1
p7zip 16.02-5
package-query 1.9-2
pacman 5.1.1-3
pacman-mirrors 4.14.0-3
pam 1.3.1-1
pamac 7.2.2-1
pambase 20171006-1
pamixer 1.3.1-10
pango 1.42.4-1
pango-perl 1.227-9
pangomm 2.42.0-1
papirus-icon-theme 20181007-1
papirus-maia-icon-theme 20181011-1
parted 3.2-7
patch 2.7.6-6
pavucontrol 1:3.0+23+g335c26c-1
pciutils 3.6.1-1
pcre 8.42-1
pcre2 10.32-1
perl 5.28.0-1
perl-data-dump 1.23-4
perl-encode-locale 1.05-4
perl-error 0.17027-1
perl-file-listing 6.04-5
perl-html-parser 3.72-6
perl-html-tagset 3.20-7
perl-http-cookies 6.04-3
perl-http-daemon 6.01-6
perl-http-date 6.02-5
perl-http-message 6.18-2
perl-http-negotiate 6.01-5
perl-io-html 1.001-4
perl-libwww 6.36-1
perl-linux-desktopfiles 0.25-2
perl-lwp-mediatypes 6.02-5
perl-mailtools 2.20-2
perl-net-http 6.18-2
perl-timedate 2.30-5
perl-try-tiny 0.30-2
perl-uri 1.74-2
perl-www-robotrules 6.02-5
pinentry 1.1.0-4
pixman 0.34.0-1
pkcs11-helper 1.25.1-1
pkgconf 1.5.4-1
playerctl 0.6.1-1
polkit 0.114-1.1
polkit-gnome 0.105-4
polkit-qt5 0.112.0+git20180107-2
polybar 3.2.1-2.2
poppler 0.71.0-1
poppler-data 0.4.9-1
poppler-glib 0.71.0-1
poppler-qt5 0.71.0-1
popt 1.16-9
preload 0.6.4-1
procps-ng 3.3.15-1.2
progsreiserfs 0.3.0.5-9
psmisc 23.2-1
pulseaudio 12.2-2
pulseaudio-alsa 2-4
pygobject-devel 3.30.2-1
pygobject2-devel 2.28.7-2
pygtk 2.24.0-8
python 3.7.1-1
python-cairo 1.17.0-2
python-dbus 1.2.8-2
